% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
329 +7.515210508e+05 +7.515210508e+05 +7.524588908e+05 +7.524588908e+05 -2.2269e+00 -1.7236e+00 -3.8224e-01 -3.7701e+00 -1.8128e+00 -2.2251e+00 -1.2991e+00 +4.5369e+00 +2.6677e+00 -4.3754e+00 +3.6292e+00 -7.2363e-01 +2.8772e-01 -8.7244e-03 +9.1792e-01 +3.0017e+00 +3.4291e+00 +1.0319e+00 -1.2283e+00 +5.9568e-01
454 +6.737463131e+05 +6.737463131e+05 +6.746841531e+05 +6.746841531e+05 -2.2373e+00 -1.7038e+00 -3.8198e-01 -3.7689e+00 -1.8108e+00 -2.1703e+00 -1.3252e+00 +4.6068e+00 +2.6787e+00 -4.3580e+00 +3.5937e+00 -6.6962e-01 +2.9210e-01 -5.5256e-03 +9.2820e-01 +3.0112e+00 +3.3825e+00 +1.0310e+00 -1.2349e+00 +6.2392e-01
490 +6.332839779e+05 +6.332839779e+05 +6.342218179e+05 +6.342218179e+05 -2.2646e+00 -1.6712e+00 -3.8222e-01 -3.7707e+00 -1.8107e+00 -2.1920e+00 -1.3103e+00 +4.5965e+00 +2.6704e+00 -4.3320e+00 +3.5691e+00 -7.7998e-01 +2.9163e-01 -9.1437e-03 +9.2126e-01 +3.0027e+00 +3.3694e+00 +1.0302e+00 -1.1930e+00 +6.1457e-01
508 +4.296739684e+05 +4.296739684e+05 +4.306118084e+05 +4.306118084e+05 -2.0239e+00 -1.1870e+00 -3.8219e-01 -3.7688e+00 -1.8163e+00 -2.2076e+00 -1.3509e+00 +4.5592e+00 +2.6697e+00 -4.4206e+00 +3.4982e+00 -8.3392e-01 +2.9033e-01 -8.1980e-03 +9.2901e-01 +3.0078e+00 +3.3629e+00 +1.0433e+00 -1.1773e+00 +7.8153e-01
556 +2.800077333e+05 +2.800077333e+05 +2.809455733e+05 +2.809455733e+05 -2.7961e+00 -1.6544e+00 -3.8226e-01 -3.7784e+00 -1.8233e+00 -2.2718e+00 -1.5462e+00 +4.6150e+00 +2.6779e+00 -4.3345e+00 +3.5871e+00 -7.7930e-01 +2.9609e-01 -9.9673e-03 +8.7698e-01 +2.9777e+00 +3.4007e+00 +1.0404e+00 -1.2047e+00 +6.7021e-01
620 +2.460798143e+05 +2.460798143e+05 +2.470176543e+05 +2.470176543e+05 -2.7365e+00 -1.5628e+00 -3.8337e-01 -3.7880e+00 -1.8011e+00 -2.2265e+00 -1.3255e+00 +4.6200e+00 +2.6747e+00 -4.4148e+00 +3.5343e+00 -1.0186e+00 +2.9074e-01 -9.8596e-03 +9.9139e-01 +3.0050e+00 +3.4220e+00 +1.1043e+00 -1.1719e+00 +6.7893e-01
703 +1.875306891e+05 +1.875306891e+05 +1.884685291e+05 +1.884685291e+05 -2.7116e+00 -1.5837e+00 -3.8233e-01 -3.7607e+00 -1.8145e+00 -2.1860e+00 -1.2360e+00 +4.5522e+00 +2.6744e+00 -4.6928e+00 +3.5578e+00 -1.9532e-01 +2.9519e-01 -7.6456e-04 +9.8299e-01 +3.0058e+00 +3.8753e+00 +1.0381e+00 -1.1921e+00 +6.6854e-01
711 +1.536288713e+05 +1.536288713e+05 +1.545667113e+05 +1.545667113e+05 -2.3254e+00 -1.0155e+00 -3.8183e-01 -3.7706e+00 -1.8071e+00 -2.3120e+00 -1.2745e+00 +4.4686e+00 +2.6645e+00 -4.7892e+00 +3.5320e+00 -8.9540e-01 +2.9961e-01 -6.8094e-03 +1.0342e+00 +3.0261e+00 +3.6990e+00 +9.8665e-01 -1.1665e+00 +8.3551e-01
728 +1.364722232e+05 +1.364722232e+05 +1.374100632e+05 +1.374100632e+05 -3.1327e+00 -1.6671e+00 -3.8275e-01 -3.7346e+00 -1.8018e+00 -2.0268e+00 -1.4812e+00 +4.5706e+00 +2.6765e+00 -4.4781e+00 +3.5913e+00 -5.5836e-01 +2.8098e-01 -8.8225e-03 +7.5695e-01 +2.9664e+00 +3.4389e+00 +1.0534e+00 -1.1623e+00 +6.1168e-01
732 +9.694701980e+04 +9.694701980e+04 +9.788485980e+04 +9.788485980e+04 -2.9693e+00 -1.4721e+00 -3.8242e-01 -3.7526e+00 -1.7906e+00 -2.4250e+00 -1.2480e+00 +4.4904e+00 +2.6961e+00 -4.4414e+00 +3.5871e+00 -6.2574e-01 +2.9189e-01 -3.8209e-03 +9.4190e-01 +2.9015e+00 +3.2199e+00 +1.0313e+00 -1.1434e+00 +6.4252e-01
